ctr,country,pdi,idv,mas,uai,ltowvs,ivr
FIN,Finland,33,63,26,59,38,57
SWF,Switzerland French,70,64,58,70,#NULL!,#NULL!
SAW,South Africa white,49,65,63,49,#NULL!,#NULL!
DEU,Germany,35,67,66,65,83,40
CHE,Switzerland,34,68,70,58,74,66
NOR,Norway,31,69,8,50,35,55
SWG,Switzerland German,26,69,72,56,#NULL!,#NULL!
IRL,Ireland,28,70,68,35,24,65
LVA,Latvia,44,70,9,63,69,13
FRA,France,68,71,43,86,63,48
SWE,Sweden,31,71,5,29,53,78
BEF,Belgium French,67,72,60,93,#NULL!,#NULL!
CAF,Canada French,54,73,45,60,#NULL!,#NULL!
DNK,Denmark,18,74,16,23,35,70
BEL,Belgium,65,75,54,94,82,57
ITA,Italy,50,76,70,75,61,30
BEN,Belgium Netherl,61,78,43,97,#NULL!,#NULL!
NZL,New Zealand,22,79,58,49,33,75
CAN,Canada,39,80,52,48,36,68
HUN,Hungary,46,80,88,82,58,31
NLD,Netherlands,38,80,14,53,67,68
GBR,Great Britain,35,89,66,35,51,69
AUS,Australia,38,90,61,51,21,71
USA,U.S.A.,40,91,62,46,26,68
ALB,Albania,90,20,80,70,61,15
DZA,Algeria,#NULL!,#NULL!,#NULL!,#NULL!,26,32
AND,Andorra,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,65
ARM,Armenia,#NULL!,#NULL!,#NULL!,#NULL!,61,#NULL!
AZE,Azerbaijan,#NULL!,#NULL!,#NULL!,#NULL!,61,22
BLR,Belarus,#NULL!,#NULL!,#NULL!,#NULL!,81,15
BIH,Bosnia,#NULL!,#NULL!,#NULL!,#NULL!,70,44
BFA,Burkina Faso,70,15,50,55,27,18
CYP,Cyprus,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,70
DOM,Dominican Rep,65,30,65,45,13,54
EGY,Egypt,70,25,45,80,7,4
ETH,Ethiopia,70,20,65,55,#NULL!,46
GEO,Georgia,#NULL!,#NULL!,#NULL!,#NULL!,38,32
GEE,Germany East,#NULL!,#NULL!,#NULL!,#NULL!,78,34
GHA,Ghana,80,15,40,65,4,72
ISL,Iceland,30,60,10,50,28,67
IRQ,Iraq,95,30,70,85,25,17
JOR,Jordan,70,30,45,65,16,43
KGZ,Kyrgyz Rep,#NULL!,#NULL!,#NULL!,#NULL!,66,39
MKD,Macedonia Rep,#NULL!,#NULL!,#NULL!,#NULL!,62,35
MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
MDA,Moldova,#NULL!,#NULL!,#NULL!,#NULL!,71,19
MNE,Montenegro,#NULL!,#NULL!,#NULL!,#NULL!,75,20
NGA,Nigeria,80,30,60,55,13,84
PRI,Puerto Rico,68,27,56,38,19,99
RWA,Rwanda,#NULL!,#NULL!,#NULL!,#NULL!,18,37
SAU,Saudi Arabia,95,25,60,80,36,52
ZAF,South Africa,49,65,63,49,34,63
TZA,Tanzania,70,25,40,5,34,38
UGA,Uganda,#NULL!,#NULL!,#NULL!,#NULL!,24,52
UKR,Ukraine,92,25,27,95,86,14
ZMB,Zambia,60,35,40,50,30,42
ZWE,Zimbabwe,#NULL!,#NULL!,#NULL!,#NULL!,15,28
